1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
2, none, minecraft:the_void, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
3, none, minecraft:the_void, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
4, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
5, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
6, none, minecraft:the_void, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
7, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
8, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
9, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
10, none, minecraft:the_void, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
11, none, minecraft:the_void, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
12, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
13, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
14, none, minecraft:the_void, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
15, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
16, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
17, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dark_vortex, 12, 1, 1
18, none, minecraft:the_void, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
19, none, minecraft:the_void, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
20, none, minecraft:the_void, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
21, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
22, none, minecraft:the_void, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
23, none, minecraft:the_void, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
24, none, minecraft:the_void, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
25, none, minecraft:the_void, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
26, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
27, none, minecraft:the_void, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
28, none, minecraft:the_void, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
29, none, minecraft:the_void, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
30, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
31, none, minecraft:the_void, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
32, none, minecraft:the_void, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
33, none, minecraft:the_void, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
34, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
35, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
36, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
37, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
38, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
39, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
40, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
41, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
42, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
43, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
44, plains, minecraft:plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
45, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
46, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
47, plains, minecraft:plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
48, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
49, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
50, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
51, plains, minecraft:plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
52, plains, minecraft:plains, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
